ward,raw_slope,raw_p,share_slope,share_p,rel_slope,rel_p,events,ev_first4,ev_last4,co_first4,co_last4,rel_first4,rel_last4
Domlur,-0.0,0.434563064772572,-0.0,0.45950558513590867,-0.0032921370692096464,0.9235023313316655,18,2,4,251,745,0.9720972207955361,0.8142160161395883
Dr.Rajkumar Ward,-0.0,0.33472755630039486,-0.0,0.19272362665026177,-0.014643913548468489,0.4605237944389165,14,7,2,187,458,2.467368416518471,0.752957575371201
Ejipura,-0.0,0.260003589320543,-0.0007015975765975765,0.10656944848543765,-0.057819746764255026,0.07402572925713644,33,4,4,418,770,1.0110426010689673,0.8270524353085236
Gali Anjaneya Swamy Temple Ward,-0.0,0.2439639465303466,-0.0,0.46512300404700635,0.003641748796125865,0.7732194749063227,7,1,4,162,504,0.8364332531122582,1.0298546225587446
Gandhi Nagar,0.11437908496732026,0.1176674046257454,-0.0,0.6684985187452955,0.05668407129824396,0.1458442183647273,43,2,17,398,843,0.7050985061520467,2.543329162737627
Ganeshmandira Ward,-0.0,0.11033976523997477,-0.0,0.07812970325652914,-0.018206128470853043,0.11260412706479736,7,1,0,408,876,0.5229232520416838,0.27354734399859887
Ganga Nagar,-0.0,0.4244471754904474,-0.0,0.3493236872078871,-0.014686765250004175,0.054753545747263134,6,1,0,211,568,0.7731654650300038,0.37189206693017574
Gangenahalli,-0.0,0.5287333251214301,-0.0,0.4892111290416603,-0.007433613716400798,0.18588304288709082,2,1,0,164,294,0.8684709174289748,0.5197692616109442
Garudacharpalya,0.07417582417582418,0.03180248431808431,-0.0,0.3057487934246461,0.027909280825859382,0.16497640636360544,20,1,8,251,990,0.7163618982929989,1.2403279422068922
Gayathri Nagar,-0.0,0.10819724752370144,-0.0,0.1342780068399353,0.017511342489280147,0.1458442183647273,4,0,2,366,361,0.45231918897965784,0.988579323079315
Giri Nagar,-0.0,0.437890005937993,-0.0,0.28340581537753196,-0.01267377065024972,0.0983302187347563,12,2,1,664,1786,0.5037760095404857,0.2137627177252915
Gottigere,-0.0,0.8121594578670615,-0.00018184405442819181,0.10652290474445593,-0.01703454390995598,0.31889648047194963,26,8,5,1089,3298,0.827979443713961,0.28451323580659144
Govindraja Nagara,-0.0,0.3950915849041501,-0.0,0.5744286837341164,0.007050465271458145,0.4222502818286719,4,1,2,260,459,0.6961426095904648,0.910699141306168
Gurappanapalya,-0.0,0.15338971199909993,-0.0,0.22022025135488232,0.019590012611144167,0.4605237944389165,12,0,5,157,473,0.6094636065144121,1.428205580730379
H.M.T,-0.0,0.3078071380727444,-0.0,0.9731642387324617,0.03992914759139926,0.3513948581732795,32,6,15,295,555,1.7964508593445787,3.098645481585123
HAL Airport,-0.0,0.4377282589388055,-0.0,0.5192490622486565,0.0026063912990872723,0.7246362205272814,9,1,3,202,452,0.7734849960280292,0.9976401115557952
HBR Layout,-0.0,0.8954955742283934,-0.00017946263551581009,0.4552980478071733,-0.0033768741848004408,0.9235023313316655,80,10,19,1144,2226,0.9395860603851185,1.1382721689687656
HSR Layout,-0.0,0.9472359051495483,-0.0002048003043313484,0.4222502818286719,0.004943649599725739,0.8728414598639421,79,17,21,1705,2658,1.213450312188547,1.1204679680334189
Hagadooru,-0.0,0.7159222103923862,-0.0008439949894571146,0.02489756445216774,-0.04713875670371248,0.12841351117075267,64,11,11,566,1981,1.8607186969251854,0.7228111765669081
Hampi Nagar,-0.0,0.7132270251909245,-0.0,0.9678696981482421,-0.00028766872143626,0.9744669029388741,8,1,4,367,1060,0.593204187731719,0.5852115108855662
Hanumantha Nagar,-0.0,0.7422398232672732,-0.0,0.6398196587130265,-0.00039438517204272227,0.9235023313316655,5,1,2,359,582,0.6050160012534332,0.6175690056687684
Hebbal,-0.0,0.18963988810479404,-0.0,0.41258875497702685,0.023781041549286945,0.3858571513151256,25,2,12,438,1123,0.6419546051097573,1.3645740754763271
Hegganahalli,-0.0,0.3185419110445046,-0.0,0.7540225300620748,0.0030866383126009634,0.8728414598639421,14,2,4,202,749,1.107689936439381,0.874750184773032
Hemmigepura,0.09090909090909091,0.2583050020774267,-6.0509895517786275e-05,0.4948288944459869,0.006163202187776319,0.5858584459782121,58,8,20,1460,4358,0.6897182329622036,0.7089490987294056
Herohalli,-0.0,0.6868394360272108,-0.0003182342933527768,0.09781702473822257,-0.028515233743017367,0.18588304288709082,55,9,11,890,2341,1.2223051114085555,0.6955511617273376
Hombegowda Nagar,-0.0,0.49920739971501427,-0.0009011378692229756,0.08084959612275873,-0.03775721728011673,0.31889648047194963,26,4,4,383,1117,1.0551691358054112,0.6592983796740649
Hongasandra,-0.0,0.9203001829411458,-0.0003737040744454587,0.2948939838180872,-0.026262388888717847,0.6307989462589767,41,10,8,355,884,2.345652536469812,1.38056735452045
Hoodi,-0.0,0.9478777812782534,-0.00098543924271748,0.007345988192888901,-0.058514949769548144,0.11260412706479736,121,25,32,1124,3443,2.30323824959763,1.6070931226840306
Horamavu,-0.11437908496732026,0.6715013105964589,-0.0005753612415384858,0.02832862734229191,-0.034066512975759355,0.18588304288709082,173,43,46,2889,4968,1.6099620706358007,1.5311445879998222
Hosahalli,-0.0,0.6513610554649711,-8.170735693041882e-06,0.21906440661100846,-0.030631678983403333,0.23326655710712652,20,2,5,250,687,1.064838725477074,0.9896091393535953
Hosakerehalli,-0.0,0.1605724342029221,-0.0005668660841074635,0.08782728379058674,-0.013357019415071617,0.3858571513151256,19,5,2,519,672,1.0516416209316826,0.6200660233962897
Hoysala Nagar,0.09545454545454546,0.17481236582875503,6.850479999290523e-05,0.6957088687937522,0.028378202124591023,0.2883781963764095,46,3,13,623,1686,0.636641445006679,1.0382144710761847
J.P.Nagar,-0.0,0.5405539531790933,-0.0,0.9147298042788199,0.0014493999712593907,0.9744669029388741,20,2,9,622,1844,0.5192291364134227,0.7316935108946094
J.P.Park,-0.0,0.25690561286709235,-0.0,0.42327221109755275,0.028732628242990117,0.11260412706479736,20,1,10,361,537,0.6005571957649223,2.00059469383919
Jagajeevanram Nagar,-0.0,0.07775989643932943,-0.0,0.08960680746141746,-0.004923952819797078,0.6771082386478994,2,0,1,84,408,0.7612084594672669,0.7491890850509879
Jakkasandra,-0.0,0.15443051915129236,-0.0,0.32303584413413144,0.007081684425014395,0.5858584459782121,7,0,4,161,508,0.6039304044482894,1.070969627992781
Jakkur,0.35416666666666663,0.004298236709264127,0.00025976112767640987,0.18321654665135823,0.0602948977039352,0.004748309856126978,97,6,35,1411,4396,0.545129672144121,1.1677746229975932
Jalahalli,-0.0,0.18988196369840515,-0.0,0.31921204599226516,0.026969010863807402,0.039762136700688226,20,2,10,356,460,0.7894666274825627,2.0946238227606906
Jaraganahalli,-0.0,0.6457206637227211,-0.0,0.7540225300620748,-0.0018442779844311387,0.9235023313316655,16,3,4,181,512,1.4258415572080254,1.0316940025359025
Jayachamarajendra Nagar,-0.0,0.5603921959021287,-0.0,0.35785658722009417,-0.014363504899242888,0.3858571513151256,9,3,2,264,594,1.255266786830259,0.6543294327541384
Jayamahal,-0.0,0.605278267746252,-0.0,0.6063360101903987,0.0032577832616992,0.7732194749063227,5,0,2,192,302,0.5691370334837498,1.0424027481254416
Jayanagar East,-0.0,0.7381897030659912,-0.0,0.41782683694519607,-0.01789029240010541,0.5006096271664154,14,4,3,287,800,1.4321373459691813,0.6645778434420598
Jayangar,-0.0,0.21521923582454716,-0.0,0.09025602441938362,-0.02696754851358215,0.004748309856126978,11,2,1,429,1490,0.6577467080863788,0.26036296476837195
Jeevanbhima Nagar,-0.0,0.4349078928971879,-0.0,0.9205930883437379,0.00990377050124908,0.7246362205272814,27,2,9,592,1113,0.5704211795885185,1.048974509354643
Jnanabharathi Ward,-0.0,0.483034519549822,-1.5891177218408216e-06,0.9223124727054681,0.0048778713558920855,0.6771082386478994,49,4,19,2669,5646,0.2733950963045552,0.47898181244995064
Jogupalya,-0.0,0.3244912126613032,-0.0,0.9731642387324617,0.011014337888557223,0.8226828854421667,28,3,9,235,859,1.2292255655259319,1.3138264863691413
K.R.Market,-0.0,0.1117651036650183,2.3267718367536822e-05,0.48529812076273016,0.041940226490171754,0.2883781963764095,24,1,8,143,428,0.9584905762007377,1.8445180422383838
K.R.Puram,-0.0,0.2247402032303295,-0.0,0.6181786564077212,0.026205716182670313,0.18588304288709082,38,5,18,818,1672,0.8398466298596697,1.4231078830745783
Kacharakanahalli,-0.0,0.03360693816576912,-0.0,0.23886817144066186,0.014982463297595158,0.20862839781386747,11,0,3,395,891,0.4112201661118826,0.6009578142810638
Kadugodi,-0.0,0.5654908975704332,-0.00017450771098033853,0.5574190934750418,0.012652316313821316,0.6771082386478994,47,8,18,450,1455,1.5359775923526848,1.547225605470195
Kadugondanahalli,-0.0,0.08461356895175433,-0.0,0.13262225087386637,0.016911999681138434,0.11260412706479736,8,0,5,262,686,0.48962593262040677,0.9704696518687618
Kamakshipalya,-0.0,0.4272628567457064,-0.0,0.3995113198488579,-0.014506111654683573,0.18588304288709082,3,1,0,153,461,0.9155837047429063,0.4175878682774631
Kammanahalli,-0.0,0.4069754134386494,-0.0,0.24600561256358888,-0.014645240776920504,0.18588304288709082,5,2,1,279,638,0.9213889085889192,0.5731477244752701
Karisandra,-0.0,0.13847671503211711,-0.0,0.3197324168939859,0.022172204645338003,0.12841351117075267,9,1,3,174,414,0.8299652642974387,1.1089866537002857
Katriguppe,-0.0,0.25683925795785656,-0.0,0.1603626623579314,-0.007687138192603866,0.3858571513151256,4,2,1,389,977,0.765727248003836,0.3956412824144906
Kavalbyrasandra,-0.0,0.45915849959084865,-0.0,0.8828884566786582,-0.0005190517764229367,1.0,18,2,11,888,2878,0.4024824968906115,0.5515066932803045
Kaveripura,-0.0,0.410518596084969,-0.0,0.36689500763478944,0.01584468897383881,0.2883781963764095,7,0,3,220,414,0.5279011164773175,1.0627505136987045
Kempapura Agrahara,-0.0,0.4137552942103686,-0.0,0.4137552942103686,-0.006613465605429575,0.20862839781386747,4,0,1,71,367,0.7678943455536444,0.6956623661910785
Kempegowda Ward,0.16666666666666666,0.017077722896027995,0.0005210699844829755,0.15905408972447066,0.07581908749799274,0.02832862734229191,43,3,16,512,1180,0.7753273263297855,1.7951814794686078
Kengeri,-0.0,0.6746744951951613,-3.70309599960763e-05,0.3131526251041533,-0.015012242748005663,0.4222502818286719,18,3,7,501,1650,0.8851455650588105,0.6551550318690615
Kodigehalli,0.06971153846153846,0.3004612676881957,-0.00020243486914310632,0.23326655710712652,-0.014712023956391321,0.7732194749063227,62,9,22,628,2317,1.6927541468312415,1.4201108319875777
Konanakunte,-0.0,0.6398694993197216,-0.0001350229132537767,0.3785956540806378,0.003751072821445395,0.8728414598639421,38,10,12,894,1844,1.2066339960641215,1.0081268855293986
Konena Agrahara,-0.0,0.501652813999101,-0.0,0.9168149485280885,-0.006020930089628384,0.7732194749063227,19,1,5,323,895,0.6807524499868731,0.8163995609590612
Koramangala,-0.03125,0.3890943774339958,-0.0006364395838080049,0.0771336684412056,-0.05263563381856142,0.11260412706479736,42,8,13,656,1416,1.298107950062176,1.1121364600843822
Kottigepalya,-0.0,0.6760415819247975,-0.0,0.945563640822758,0.005347211544318338,0.6307989462589767,20,2,6,1218,2408,0.3315284914157656,0.4557919658778807
Kumaraswamy Layout,-0.0,0.2741688833660889,-0.0,0.7540225300620748,0.000542581913011783,0.9235023313316655,19,4,8,605,1855,0.8198828104855362,0.7753301293741368
Kushal Nagar,-0.0,0.49143202491054605,-0.0,0.5274713462931504,-0.005488020161502167,0.5424221448910934,3,0,0,132,370,0.6567126998804844,0.4717917932492646
Kuvempu Nagar,0.10555555555555556,0.07635227108228775,-0.0,1.0,0.017855737570154614,0.3513948581732795,33,1,12,557,1811,0.48104633698264304,0.9648660125933526
Laggere,-0.0,0.13379176111756094,-0.0,0.1585961484091467,0.02399753055603525,0.12841351117075267,12,0,6,430,865,0.3675009083775853,0.9724635385138357
Lakkasandra,-0.0,0.7132270251909245,-0.0,0.5457081747185151,-0.011405107115340615,0.3513948581732795,7,1,2,117,397,1.0571851785282635,0.8831980314483204
Lakshmidevi Nagar,-0.0,0.2681599468110203,-0.0,0.2063228336799936,-0.0064397835385701565,0.2883781963764095,4,2,2,86,199,1.4510492891961482,1.1559698315842666
Lingarajapuram,-0.0,0.41226711983157605,-0.0,0.24600561256358888,-0.00742108032064922,0.5424221448910934,7,3,2,251,523,1.305672401020669,0.647611474202668
Madiwala,-0.0,0.0199501784368676,-0.0,0.046353852902272084,0.031728080143595926,0.04676893674989459,10,0,5,357,844,0.41202552917754687,0.937981745400668
Mahalakshmipuram,-0.0,0.6064979888020765,-0.0,0.5145556773343292,-0.003644328089673143,0.6771082386478994,7,2,1,398,575,0.8179269396894813,0.535131356684084
Mallasandra,-0.0,0.20459423372167695,-0.0,0.2614025396509938,0.009350816414384563,0.31889648047194963,5,0,1,284,422,0.48551063341141226,0.5941400053064648
Malleshwaram,-0.0,0.5438661901184723,-0.0,0.5438661901184723,-0.005514820249898111,0.2883781963764095,2,0,0,402,923,0.3855733058224417,0.272060324852323
Mangammanapalya,-0.0,0.5743929163859756,-0.00034190187551834525,0.5368163113567568,0.03145818757617133,0.3858571513151256,57,13,19,707,1279,2.0618844966417624,2.028181615972372
Manorayanapalya,-0.0,0.3398699653098112,-1.0888501742160289e-05,0.48529812076273016,-0.014703464412649893,0.6771082386478994,24,4,5,236,1318,1.42842839525475,0.7645089844262427
Marappana Palya,-0.0,0.8997412986871715,-0.0,0.9498704530360561,-0.00039506947092356193,0.9744669029388741,2,0,0,225,392,0.5264698643092625,0.45206910434168757
Marathalli,-0.0,0.24960427359967507,-0.0,0.6061477490863176,0.008190235357437542,0.6307989462589767,14,1,5,249,791,0.7183383675490348,1.010999900732596
Marenahalli,-0.0,0.6350996214230364,-0.0,0.5984999065340422,0.007293977483734802,0.20862839781386747,5,2,2,317,402,0.9124793213259217,0.8269334961346853
Maruthi Mandira Ward,-0.0,0.49143202491054605,-0.0,0.5274713462931504,0.010583815598681757,0.2883781963764095,3,0,1,249,418,0.5002103380432316,0.627346033998662
Maruthi Seva Nagar,-0.0,0.8159723491869253,-0.0,1.0,-0.0006344556888095432,0.9744669029388741,10,0,2,448,1691,0.3643909923889894,0.447033104201475
Mathikere,-0.0,0.19587557068600614,-0.0,0.28274545993277467,0.01063528699367271,0.20862839781386747,10,1,7,275,558,0.6818406735897875,1.38952575343936
Moodalapalya,-0.0,0.14643519153898515,-0.0,0.1603626623579314,0.023688916216819157,0.016406081268886954,7,0,5,236,299,0.5143861517518614,1.5809853461681493
Muneshwara Nagar,-0.0,0.04776124267510367,-0.0,0.0832645166635504,0.025156819082172502,0.08550171523715203,6,1,4,91,208,1.0550779763869282,1.8180546109601248
Nagapura,-0.0,0.7958834113364159,-0.0,0.6364730246496135,-0.005349364431358184,0.6771082386478994,8,2,3,439,918,0.7013482664506413,0.5658736683411508
Nagarabhavi,-0.0,0.6326522167858133,-0.0,0.7209848619016708,0.011671029935036874,0.4605237944389165,11,1,3,279,509,0.7117923503183233,0.8492680932256559
Nagavara,-0.0,0.4779720677177939,-0.0,0.2239389158126146,-0.03076314062820282,0.20862839781386747,11,2,2,322,889,0.8087932276934517,0.6623820860226404
Nandini Layout,-0.0,0.009762628542579364,-0.0,0.011506273356971967,0.019390123747383706,0.06380788453418215,5,0,4,345,680,0.41928238048665,0.9988383325861137
